# This file is released under the Creative Commons Attribution 3.0 Unported
# (CC-BY <http://creativecommons.org/licenses/by/3.0/>).
#
# Copyright 2010 Kellen Parker, Allan Simon
# It was compiled by Kellen Parker and Allan Simon
# http://www.sinoglot.com/wu/tools/data/.
#
# Mapping of Chinese characters to their Shanghainese pronunciation in IPA.
#
# ChineseCharacter, IPA
酮	doŋ⁵³
銅	doŋ⁵³
铜	doŋ⁵³
衕	doŋ⁵³
茼	doŋ⁵³
毒	doˀ¹²
櫝	doˀ¹²
椟	doˀ¹²
渎	doˀ¹²
碡	doˀ¹²
瀆	doˀ¹²
牍	doˀ¹²
牘	doˀ¹²
犢	doˀ¹²
犊	doˀ¹²
独	doˀ¹²
纛	doˀ¹²
獨	doˀ¹²
髑	doˀ¹²
黷	doˀ¹²
黩	doˀ¹²
铎	doˀ¹²
读	doˀ¹²
讀	doˀ¹²
鐸	doˀ¹²
踱	doˀ¹²
墮	du²³
垛	du²³
惰	du²³
杜	du²³
堕	du²³
肚	du²³
舵	du²³
渡	du³⁴
度	du³⁴
鍍	du³⁴
镀	du³⁴
芏	du³⁴
塗	du⁵³
圖	du⁵³
沲	du⁵³
沱	du⁵³
涂	du⁵³
柁	du⁵³
佗	du⁵³
坨	du⁵³
图	du⁵³
徒	du⁵³
屠	du⁵³
瘏	du⁵³
砣	du⁵³
駝	du⁵³
驮	du⁵³
途	du⁵³
酡	du⁵³
陀	du⁵³
跎	du⁵³
菟	du⁵³
驼	du⁵³
鼉	du⁵³
鼍	du⁵³
荼	du⁵³
馱	du⁵³
鸵	du⁵³
酴	du⁵³
鴕	du⁵³
啊	ɑ
噢	ɔ
哎	ɛ
呢	ɲi
抳	ɲi²³
拟	ɲi²³
擬	ɲi²³
伲	ɲi²³
你	ɲi²³
尾	ɲi²³
祢	ɲi²³
禰	ɲi²³
舣	ɲi²³
艤	ɲi²³
蚁	ɲi²³
蟻	ɲi²³
义	ɲi³⁴
刈	ɲi³⁴
劓	ɲi³⁴
呓	ɲi³⁴
囈	ɲi³⁴
毅	ɲi³⁴
二	ɲi³⁴
佴	ɲi³⁴
睨	ɲi³⁴
羿	ɲi³⁴
義	ɲi³⁴
貳	ɲi³⁴
耳	ɲi³⁴
誼	ɲi³⁴
谊	ɲi³⁴
诣	ɲi³⁴
議	ɲi³⁴
詣	ɲi³⁴
议	ɲi³⁴
腻	ɲi³⁴
膩	ɲi³⁴
藝	ɲi³⁴
艺	ɲi³⁴
艾	ɲi³⁴
贰	ɲi³⁴
倪	ɲi⁵³
仪	ɲi⁵³
沂	ɲi⁵³
嶷	ɲi⁵³
宜	ɲi⁵³
儿	ɲi⁵³
儀	ɲi⁵³
兒	ɲi⁵³
坭	ɲi⁵³
泥	ɲi⁵³
怩	ɲi⁵³
旎	ɲi⁵³
尼	ɲi⁵³
妮	ɲi⁵³
猊	ɲi⁵³
疑	ɲi⁵³
鲵	ɲi⁵³
鲕	ɲi⁵³
鯢	ɲi⁵³
鮞	ɲi⁵³
霓	ɲi⁵³
鴯	ɲi⁵³
鸸	ɲi⁵³
忍	ɲiɲ²³
恁	ɲiɲ²³
飪	ɲiɲ²³
饪	ɲiɲ²³
仞	ɲiɲ³⁴
佞	ɲiɲ³⁴
妊	ɲiɲ³⁴
甯	ɲiɲ³⁴
賃	ɲiɲ³⁴
認	ɲiɲ³⁴
閏	ɲiɲ³⁴
闰	ɲiɲ³⁴
韧	ɲiɲ³⁴
韌	ɲiɲ³⁴
赁	ɲiɲ³⁴
认	ɲiɲ³⁴
寧	ɲiɲ⁵³
宁	ɲiɲ⁵³
壬	ɲiɲ⁵³
凝	ɲiɲ⁵³
吟	ɲiɲ⁵³
咛	ɲiɲ⁵³
嚀	ɲiɲ⁵³
圻	ɲiɲ⁵³
任	ɲiɲ⁵³
仁	ɲiɲ⁵³
仍	ɲiɲ⁵³
泞	ɲiɲ⁵³
檸	ɲiɲ⁵³
濘	ɲiɲ⁵³
拧	ɲiɲ⁵³
擰	ɲiɲ⁵³
柠	ɲiɲ⁵³
亻	ɲiɲ⁵³
人	ɲiɲ⁵³
垠	ɲiɲ⁵³
狞	ɲiɲ⁵³
獰	ɲiɲ⁵³
甯	ɲiɲ⁵³
狺	ɲiɲ⁵³
聹	ɲiɲ⁵³
鄞	ɲiɲ⁵³
銀	ɲiɲ⁵³
银	ɲiɲ⁵³
迎	ɲiɲ⁵³
聍	ɲiɲ⁵³
齦	ɲiɲ⁵³
龈	ɲiɲ⁵³
扭	ɲiɤ²³
狃	ɲiɤ²³
纽	ɲiɤ²³
紐	ɲiɤ²³
鈕	ɲiɤ²³
钮	ɲiɤ²³
嬲	ɲiɔ²³
嬈	ɲiɔ²³
娆	ɲiɔ²³
鳥	ɲiɔ²³
袅	ɲiɔ²³
裊	ɲiɔ²³
鸟	ɲiɔ²³
尿	ɲiɔ³⁴
繞	ɲiɔ³⁴
绕	ɲiɔ³⁴
脲	ɲiɔ³⁴
揉	ɲiɤ⁵³
妞	ɲiɤ⁵³
牛	ɲiɤ⁵³
尧	ɲiɔ⁵³
僥	ɲiɔ⁵³
桡	ɲiɔ⁵³
橈	ɲiɔ⁵³
侥	ɲiɔ⁵³
堯	ɲiɔ⁵³
蛲	ɲiɔ⁵³
